City Name,Lat,Long,Max Temp,Cloudiness,Humidity,Wind Speed,Country
kerrville,30.05,-99.14,87.01,40.0,51.0,6.93,US
busayra,30.74,35.61,66.16,0.0,59.0,2.3,JO
burnie,-41.07,145.92,51.01,85.0,73.0,11.01,AU
dok kham tai,19.16,99.99,72.68,100.0,93.0,1.63,TH
marsa matruh,31.35,27.25,77.0,0.0,73.0,5.82,EG
kavieng,-2.57,150.8,82.85,66.0,77.0,13.67,PG
karatau,43.17,70.47,58.71,0.0,44.0,1.81,KZ
chachapoyas,-6.23,-77.87,65.21,32.0,62.0,5.46,PE
sisimiut,66.94,-53.67,36.14,9.0,79.0,2.95,GL
acapulco,16.86,-99.89,87.8,40.0,74.0,9.17,MX
ahipara,-35.17,173.17,55.15,95.0,65.0,8.1,NZ
faya,18.39,42.45,73.4,0.0,15.0,8.7,SA
rajsamand,25.07,73.88,78.73,75.0,55.0,3.09,IN
hami,42.8,93.45,66.38,100.0,21.0,5.55,CN
lakes entrance,-37.88,147.98,46.99,3.0,95.0,9.69,AU
roald,62.58,6.13,53.6,75.0,76.0,10.29,NO
sangar,63.92,127.47,41.88,3.0,93.0,12.8,RU
cheremukhovo,60.35,59.99,48.13,100.0,88.0,8.12,RU
okato,-39.2,173.88,55.0,74.0,76.0,14.0,NZ
san policarpo,12.18,125.51,82.08,94.0,80.0,5.32,PH
san isidro,-12.12,-77.05,62.6,90.0,77.0,9.17,PE
palmer,42.16,-72.33,73.99,75.0,60.0,6.93,US
lahad datu,5.03,118.33,74.95,100.0,89.0,1.88,MY
port moresby,-9.44,147.18,71.6,20.0,83.0,11.41,PG
chimbote,-9.09,-78.58,64.4,36.0,74.0,12.21,PE
saint anthony,45.02,-93.22,73.99,1.0,56.0,5.82,US
luena,-11.78,19.92,64.63,0.0,29.0,2.48,AO
wellington,-41.29,174.78,59.0,29.0,72.0,24.16,NZ
lasa,46.62,10.7,63.0,18.0,87.0,2.24,IT
chany,55.31,76.76,51.46,100.0,74.0,4.88,RU
dalby,-27.18,151.27,57.2,0.0,93.0,3.36,AU
sertanopolis,-23.06,-51.04,91.4,79.0,19.0,4.7,BR
olafsvik,64.89,-23.71,46.35,99.0,77.0,12.12,IS
robe,-37.18,139.75,54.61,0.0,77.0,11.18,AU
alekseyevskaya,50.29,42.18,54.0,23.0,55.0,4.0,RU
lazaro cardenas,17.96,-102.2,84.81,97.0,74.0,8.5,MX
juquitiba,-23.93,-47.07,82.99,11.0,34.0,9.17,BR
dombarovskiy,50.76,59.54,53.19,0.0,61.0,5.19,RU
perth,-31.93,115.83,61.0,83.0,58.0,16.11,AU
sterling,39.01,-77.43,82.99,40.0,54.0,5.82,US
alamos,27.02,-108.93,97.0,16.0,55.0,7.0,MX
havelock,34.88,-76.9,82.0,90.0,83.0,2.08,US
rudbar,30.15,62.6,70.25,0.0,23.0,10.25,AF
shingu,33.73,135.98,72.05,50.0,77.0,4.79,JP
harnosand,62.63,17.94,50.0,78.0,93.0,2.24,SE
praia da vitoria,38.73,-27.07,73.4,20.0,83.0,10.56,PT
katherine,-14.47,132.27,64.4,23.0,59.0,4.7,AU
zamora,-4.07,-78.96,84.2,40.0,35.0,16.11,EC
honningsvag,70.98,25.97,48.2,75.0,87.0,4.7,NO
tagusao,9.19,117.81,80.26,67.0,79.0,2.51,PH
karratha,-20.74,116.85,77.2,17.0,29.0,11.61,AU
onguday,50.75,86.15,38.12,0.0,73.0,2.08,RU
boffa,10.17,-14.03,77.31,100.0,93.0,5.77,GN
mayumba,-3.43,10.66,75.16,91.0,85.0,6.44,GA
stornoway,58.21,-6.39,59.0,100.0,93.0,13.87,GB
bela,25.93,81.98,82.96,93.0,72.0,3.6,IN
cockburn town,21.46,-71.14,84.2,40.0,70.0,6.93,TC
lorengau,-2.02,147.27,82.76,96.0,81.0,12.44,PG
ulaangom,49.98,92.07,41.05,0.0,70.0,0.36,MN
thanh hoa,19.8,105.77,78.75,98.0,91.0,0.45,VN
bonga,7.28,36.23,61.2,100.0,89.0,1.79,ET
meybod,32.25,54.02,71.6,0.0,18.0,4.7,IR
souillac,-20.52,57.52,71.6,40.0,73.0,10.29,MU
vuktyl,63.86,57.31,49.37,100.0,92.0,14.76,RU
storforshei,66.4,14.52,48.0,75.0,87.0,8.05,NO
sydney,-33.87,151.21,57.99,20.0,71.0,3.36,AU
aragarcas,-15.9,-52.25,98.6,0.0,17.0,4.7,BR
zapadnaya dvina,56.26,32.07,46.31,0.0,89.0,6.87,RU
port hawkesbury,45.62,-61.35,64.0,90.0,82.0,14.99,CA
anloga,5.79,0.9,77.0,20.0,83.0,9.17,GH
enkoping,59.64,17.08,57.2,95.0,82.0,2.24,SE
parintins,-2.63,-56.74,84.79,70.0,54.0,0.85,BR
walvis bay,-22.96,14.51,57.2,0.0,67.0,10.29,NA
hudiksvall,61.73,17.1,44.01,93.0,98.0,3.91,SE
zhovkva,50.06,23.97,57.2,62.0,93.0,3.87,UA
port-gentil,-0.72,8.78,77.0,20.0,88.0,13.76,GA
jalu,29.03,21.55,88.05,0.0,27.0,15.05,LY
saint-joseph,-21.37,55.62,68.0,75.0,82.0,5.82,RE
gamba,-2.65,10.0,75.02,100.0,85.0,6.93,GA
guadalajara,20.67,-103.33,86.0,75.0,60.0,5.82,MX
inirida,3.87,-67.92,84.92,95.0,68.0,1.3,CO
tungor,53.38,142.96,55.92,0.0,82.0,2.42,RU
santa cruz de la palma,28.68,-17.76,75.2,20.0,78.0,6.15,ES
tsiroanomandidy,-18.77,46.03,63.52,86.0,67.0,2.89,MG
eureka,40.8,-124.16,63.0,90.0,87.0,3.36,US
leningradskiy,69.38,178.42,42.75,100.0,79.0,2.53,RU
springfield,37.22,-93.3,75.99,1.0,53.0,9.17,US
mineros,-17.12,-63.23,89.6,61.0,55.0,11.41,BO
pella,59.78,30.82,55.0,20.0,76.0,11.18,RU
filadelfia,39.95,-75.16,79.0,75.0,61.0,8.05,US
palora,-1.7,-77.93,77.0,40.0,69.0,6.93,EC
noyabrsk,63.2,75.45,47.01,42.0,92.0,8.7,RU
malatya,38.5,38.0,69.8,0.0,49.0,9.17,TR
chifeng,42.27,118.96,59.94,100.0,88.0,0.51,CN
iskateley,67.68,53.15,48.52,100.0,92.0,14.72,RU
ilhabela,-23.78,-45.36,70.79,15.0,86.0,6.42,BR
kinsale,51.71,-8.53,59.0,75.0,93.0,8.05,IE
messini,37.05,22.01,78.01,0.0,69.0,6.93,GR
moratuwa,6.77,79.88,80.6,40.0,83.0,5.82,LK
duluth,46.78,-92.11,66.0,1.0,52.0,6.93,US
yaring,6.87,101.37,77.85,100.0,82.0,4.76,TH
zhangye,38.93,100.45,56.37,0.0,39.0,1.5,CN
valvedditturai,9.82,80.17,81.73,100.0,80.0,13.35,LK
traipu,-9.97,-37.0,70.59,1.0,87.0,6.4,BR
pokhara,28.23,83.98,69.89,81.0,77.0,3.6,NP
umea,63.83,20.26,48.2,0.0,76.0,9.17,SE
kirkwall,58.98,-2.96,59.0,100.0,87.0,14.99,GB
vostok,46.49,135.88,45.21,100.0,68.0,3.58,RU
castries,14.0,-61.01,87.8,20.0,83.0,3.36,LC
tessalit,20.2,1.01,96.39,0.0,12.0,9.93,ML
nakhon thai,17.1,100.84,74.28,83.0,86.0,1.74,TH
aloleng,16.13,119.78,81.3,24.0,80.0,2.68,PH
